run IMDB with vanilla postgres
1: time consumption: 313840.979000 ms
2: time consumption: 313401.115000 ms
0: time consumption: 596773.721000 ms
1: time consumption: 596416.501000 ms
2: time consumption: 597136.382000 ms
0: time consumption: 604072.214000 ms
1: time consumption: 602170.141000 ms
2: time consumption: 602038.466000 ms
0: time consumption: 605872.162000 ms
1: time consumption: 606172.786000 ms
2: time consumption: 607577.873000 ms
0: time consumption: 417727.634000 ms
1: time consumption: 397996.978000 ms
2: time consumption: 396105.473000 ms
0: time consumption: 287059.808000 ms
1: time consumption: 284645.712000 ms
2: time consumption: 285041.134000 ms
0: time consumption: 675498.049000 ms
1: time consumption: 679201.648000 ms
2: time consumption: 676080.718000 ms
0: time consumption: 485715.635000 ms
1: time consumption: 485666.012000 ms
2: time consumption: 484909.085000 ms
0: time consumption: 409638.068000 ms
1: time consumption: 409663.494000 ms
2: time consumption: 409456.433000 ms
0: time consumption: 505060.343000 ms
1: time consumption: 505401.621000 ms
2: time consumption: 504799.391000 ms
0: time consumption: 239304.045000 ms
1: time consumption: 239305.338000 ms
2: time consumption: 239046.057000 ms
0: time consumption: 224459.505000 ms
1: time consumption: 224355.972000 ms
2: time consumption: 225521.179000 ms
0: time consumption: 633567.834000 ms
1: time consumption: 636071.624000 ms
2: time consumption: 632400.576000 ms
0: time consumption: 643675.106000 ms
1: time consumption: 640759.001000 ms
2: time consumption: 640117.858000 ms
0: time consumption: 740095.341000 ms
1: time consumption: 735106.794000 ms
2: time consumption: 743896.687000 ms
0: time consumption: 632715.206000 ms
1: time consumption: 629007.377000 ms
2: time consumption: 626377.946000 ms
0: time consumption: 572125.103000 ms
1: time consumption: 597606.854000 ms
2: time consumption: 596128.386000 ms
0: time consumption: 657148.849000 ms
1: time consumption: 641721.732000 ms
2: time consumption: 643610.386000 ms
0: time consumption: 699743.628000 ms
1: time consumption: 696735.101000 ms
2: time consumption: 702932.442000 ms
0: time consumption: 633368.705000 ms
1: time consumption: 621509.989000 ms
2: time consumption: 622821.491000 ms
0: time consumption: 614632.676000 ms
1: time consumption: 611316.925000 ms
2: time consumption: 610233.705000 ms
0: time consumption: 994627.533000 ms
1: time consumption: 268737.644000 ms
2: time consumption: 253153.368000 ms
0: time consumption: 418498.022000 ms
1: time consumption: 411078.495000 ms
2: time consumption: 412593.880000 ms
0: time consumption: 415244.300000 ms
1: time consumption: 414526.488000 ms
2: time consumption: 404750.731000 ms
0: time consumption: 512987.467000 ms
1: time consumption: 451581.276000 ms
2: time consumption: 408706.960000 ms
0: time consumption: 451355.969000 ms
1: time consumption: 420899.465000 ms
2: time consumption: 439880.161000 ms
0: time consumption: 316632.310000 ms
1: time consumption: 273826.375000 ms
2: time consumption: 271644.609000 ms
0: time consumption: 541280.481000 ms
1: time consumption: 539684.710000 ms
2: time consumption: 541731.264000 ms
0: time consumption: 270967.194000 ms
1: time consumption: 299583.143000 ms
2: time consumption: 293532.921000 ms
0: time consumption: 834111.397000 ms
1: time consumption: 854277.867000 ms
2: time consumption: 861991.575000 ms
copy to imdb_vanilla
run IMDB with query split
0: time consumption: 143223.858000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
1: time consumption: 138634.425000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
2: time consumption: 125559.400000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
0: time consumption: 127743.279000 ms
1: time consumption: 105639.362000 ms
2: time consumption: 112399.951000 ms
0: time consumption: 841321.103000 ms
1: time consumption: 5750.940000 ms
2: time consumption: 836482.349000 ms
0: time consumption: 737729.041000 ms
1: time consumption: 733166.398000 ms
2: time consumption: 732626.591000 ms
0: time consumption: 731602.922000 ms
1: time consumption: 728998.035000 ms
2: time consumption: 730760.406000 ms
0: time consumption: 688342.438000 ms
1: time consumption: 693417.760000 ms
2: time consumption: 693305.108000 ms
0: time consumption: 868194.760000 ms
1: time consumption: 860885.951000 ms
2: time consumption: 952995.395000 ms
0: time consumption: 116599.217000 ms
1: time consumption: 106529.150000 ms
2: time consumption: 103322.228000 ms
0: time consumption: 11326.948000 ms
1: time consumption: 8282.964000 ms
2: time consumption: 2822.307000 ms
0: time consumption: 696804.423000 ms
1: time consumption: 702166.838000 ms
2: time consumption: 703170.984000 ms
0: time consumption: 804314.534000 ms
1: time consumption: 816639.335000 ms
2: time consumption: 818513.900000 ms
0: time consumption: 622431.021000 ms
1: time consumption: 622467.883000 ms
2: time consumption: 654652.187000 ms
0: time consumption: 564569.967000 ms
1: time consumption: 550128.765000 ms
2: time consumption: 566227.829000 ms
0: time consumption: 659050.009000 ms
1: time consumption: 680328.085000 ms
2: time consumption: 632384.614000 ms
0: time consumption: 240925.282000 ms
1: time consumption: 229957.170000 ms
2: time consumption: 220845.137000 ms
0: time consumption: 419735.103000 ms
1: time consumption: 437020.038000 ms
2: time consumption: 426883.727000 ms
0: time consumption: 227819.691000 ms
1: time consumption: 226289.758000 ms
2: time consumption: 215194.682000 ms
0: time consumption: 351435.765000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
1: time consumption: 343638.922000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
2: time consumption: 344768.603000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
0: time consumption: 31598.978000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
1: time consumption: 28939.374000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
2: time consumption: 28029.720000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
0: time consumption: 517197.303000 ms
1: time consumption: 572368.389000 ms
